player,year,team
Rashid Khan,2017,Sunrisers Hyderabad
S Dhawan,2017,Sunrisers Hyderabad
KS Williamson,2017,Sunrisers Hyderabad
DA Warner,2017,Sunrisers Hyderabad
Ishan Kishan,2017,Gujarat Lions
P Kumar,2017,Gujarat Lions
AD Nath,2017,Gujarat Lions
Tejas Baroka,2017,Gujarat Lions
SB Jakati,2017,Gujarat Lions
DS Kulkarni,2017,Gujarat Lions
SS Agarwal,2017,Gujarat Lions
AJ Tye,2017,Gujarat Lions
AJ Finch,2017,Gujarat Lions
S Kaushik,2017,Gujarat Lions
MM Patel,2017,Gujarat Lions
Ankit Soni,2017,Gujarat Lions
Basil Thampi,2017,Gujarat Lions
NB Singh,2017,Gujarat Lions
KD Karthik,2017,Gujarat Lions
JP Faulkner,2017,Gujarat Lions
RA Jadeja,2017,Gujarat Lions
PJ Sangwan,2017,Gujarat Lions
BB McCullum,2017,Gujarat Lions
JJ Roy,2017,Gujarat Lions
MS Gony,2017,Gujarat Lions
IK Pathan,2017,Gujarat Lions
SK Raina,2017,Gujarat Lions
DR Smith,2017,Gujarat Lions
RR Pant,2017,Delhi Daredevils
KK Nair,2017,Delhi Daredevils
CR Brathwaite,2017,Delhi Daredevils
Mohammed Shami,2017,Delhi Daredevils
SS Iyer,2017,Delhi Daredevils
K Rabada,2017,Delhi Daredevils
J Yadav,2017,Delhi Daredevils
Z Khan,2017,Delhi Daredevils
SW Billings,2017,Delhi Daredevils
AD Mathews,2017,Delhi Daredevils
CJ Anderson,2017,Delhi Daredevils
AR Bawne,2017,Delhi Daredevils
S Nadeem,2017,Delhi Daredevils
A Mishra,2017,Delhi Daredevils
CH Morris,2017,Delhi Daredevils
PJ Cummins,2017,Delhi Daredevils
MN Samuels,2017,Delhi Daredevils
AP Tare,2017,Delhi Daredevils
SV Samson,2017,Delhi Daredevils
T Natarajan,2017,Punjab Kings
GJ Maxwell,2017,Punjab Kings
AR Patel,2017,Punjab Kings
Anureet Singh,2017,Punjab Kings
I Sharma,2017,Punjab Kings
MJ Guptill,2017,Punjab Kings
EJG Morgan,2017,Punjab Kings
WP Saha,2017,Punjab Kings
Gurkeerat Singh,2017,Punjab Kings
Swapnil Singh,2017,Punjab Kings
R Tewatia,2017,Punjab Kings
M Vohra,2017,Punjab Kings
SE Marsh,2017,Punjab Kings
DA Miller,2017,Punjab Kings
MP Stoinis,2017,Punjab Kings
KC Cariappa,2017,Punjab Kings
Sandeep Sharma,2017,Punjab Kings
HM Amla,2017,Punjab Kings
VR Aaron,2017,Punjab Kings
MJ Henry,2017,Punjab Kings
MM Sharma,2017,Punjab Kings
M Markande,2018,Mumbai Indians
PJ Sangwan,2018,Mumbai Indians
Mustafizur Rahman,2018,Mumbai Indians
KH Pandya,2018,Mumbai Indians
KA Pollard,2018,Mumbai Indians
Ishan Kishan,2018,Mumbai Indians
JP Duminy,2018,Mumbai Indians
E Lewis,2018,Mumbai Indians
BCJ Cutting,2018,Mumbai Indians
A Dananjaya,2018,Mumbai Indians
MJ McClenaghan,2018,Mumbai Indians
SA Yadav,2018,Mumbai Indians
HH Pandya,2018,Mumbai Indians
JJ Bumrah,2018,Mumbai Indians
RG Sharma,2018,Mumbai Indians
NV Ojha,2018,Delhi Daredevils
V Shankar,2018,Delhi Daredevils
HV Patel,2018,Delhi Daredevils
LE Plunkett,2018,Delhi Daredevils
CJ Dala,2018,Delhi Daredevils
C Munro,2018,Delhi Daredevils
S Nadeem,2018,Delhi Daredevils
R Tewatia,2018,Delhi Daredevils
A Mishra,2018,Delhi Daredevils
CH Morris,2018,Delhi Daredevils
RR Pant,2018,Delhi Daredevils
DT Christian,2018,Delhi Daredevils
TA Boult,2018,Delhi Daredevils
PP Shaw,2018,Delhi Daredevils
Avesh Khan,2018,Delhi Daredevils
S Lamichhane,2018,Delhi Daredevils
Mohammed Shami,2018,Delhi Daredevils
Abhishek Sharma,2018,Delhi Daredevils
GJ Maxwell,2018,Delhi Daredevils
JJ Roy,2018,Delhi Daredevils
G Gambhir,2018,Delhi Daredevils
SS Iyer,2018,Delhi Daredevils
KL Rahul,2018,Punjab Kings
AJ Tye,2018,Punjab Kings
AJ Finch,2018,Punjab Kings
BB Sran,2018,Punjab Kings
R Ashwin,2018,Punjab Kings
Yuvraj Singh,2018,Punjab Kings
AD Nath,2018,Punjab Kings
DA Miller,2018,Punjab Kings
Mujeeb Ur Rahman,2018,Punjab Kings
MM Sharma,2018,Punjab Kings
MK Tiwary,2018,Punjab Kings
KK Nair,2018,Punjab Kings
AS Rajpoot,2018,Punjab Kings
MA Agarwal,2018,Punjab Kings
AR Patel,2018,Punjab Kings
CH Gayle,2018,Punjab Kings
MP Stoinis,2018,Punjab Kings
RA Tripathi,2018,Rajasthan Royals
S Gopal,2018,Rajasthan Royals
BA Stokes,2018,Rajasthan Royals
STR Binny,2018,Rajasthan Royals
DS Kulkarni,2018,Rajasthan Royals
K Gowtham,2018,Rajasthan Royals
DJM Short,2018,Rajasthan Royals
JC Buttler,2018,Rajasthan Royals
AM Rahane,2018,Rajasthan Royals
JD Unadkat,2018,Rajasthan Royals
Anureet Singh,2018,Rajasthan Royals
JC Archer,2018,Rajasthan Royals
IS Sodhi,2018,Rajasthan Royals
SV Samson,2018,Rajasthan Royals
Ankit Sharma,2018,Rajasthan Royals
MK Lomror,2018,Rajasthan Royals
H Klaasen,2018,Rajasthan Royals
P Chopra,2018,Rajasthan Royals
B Laughlin,2018,Rajasthan Royals
RK Singh,2018,Kolkata Knight Riders
CA Lynn,2018,Kolkata Knight Riders
Shivam Mavi,2018,Kolkata Knight Riders
Shubman Gill,2018,Kolkata Knight Riders
M Prasidh Krishna,2018,Kolkata Knight Riders
RV Uthappa,2018,Kolkata Knight Riders
PP Chawla,2018,Kolkata Knight Riders
TK Curran,2018,Kolkata Knight Riders
SP Narine,2018,Kolkata Knight Riders
R Vinay Kumar,2018,Kolkata Knight Riders
AD Russell,2018,Kolkata Knight Riders
N Rana,2018,Kolkata Knight Riders
Kuldeep Yadav,2018,Kolkata Knight Riders
JPR Scantlebury-Searles,2018,Kolkata Knight Riders
KD Karthik,2018,Kolkata Knight Riders
MG Johnson,2018,Kolkata Knight Riders
RK Bhui,2018,Sunrisers Hyderabad
Shakib Al Hasan,2018,Sunrisers Hyderabad
CJ Jordan,2018,Sunrisers Hyderabad
YK Pathan,2018,Sunrisers Hyderabad
AD Hales,2018,Sunrisers Hyderabad
Rashid Khan,2018,Sunrisers Hyderabad
WP Saha,2018,Sunrisers Hyderabad
CR Brathwaite,2018,Sunrisers Hyderabad
MK Pandey,2018,Sunrisers Hyderabad
Basil Thampi,2018,Sunrisers Hyderabad
KK Ahmed,2018,Sunrisers Hyderabad
KS Williamson,2018,Sunrisers Hyderabad
DJ Hooda,2018,Sunrisers Hyderabad
SP Goswami,2018,Sunrisers Hyderabad
Sandeep Sharma,2018,Sunrisers Hyderabad
B Kumar,2018,Sunrisers Hyderabad
S Kaul,2018,Sunrisers Hyderabad
B Stanlake,2018,Sunrisers Hyderabad
S Dhawan,2018,Sunrisers Hyderabad
Mohammad Nabi,2018,Sunrisers Hyderabad
TG Southee,2018,Royal Challengers Bangalore
Mohammed Siraj,2018,Royal Challengers Bangalore
V Kohli,2018,Royal Challengers Bangalore
UT Yadav,2018,Royal Challengers Bangalore
CR Woakes,2018,Royal Challengers Bangalore
M Vohra,2018,Royal Challengers Bangalore
K Khejroliya,2018,Royal Challengers Bangalore
PA Patel,2018,Royal Challengers Bangalore
Mandeep Singh,2018,Royal Challengers Bangalore
P Negi,2018,Royal Challengers Bangalore
SN Khan,2018,Royal Challengers Bangalore
Q de Kock,2018,Royal Challengers Bangalore
BB McCullum,2018,Royal Challengers Bangalore
Washington Sundar,2018,Royal Challengers Bangalore
YS Chahal,2018,Royal Challengers Bangalore
M Ashwin,2018,Royal Challengers Bangalore
MM Ali,2018,Royal Challengers Bangalore
CJ Anderson,2018,Royal Challengers Bangalore
AB de Villiers,2018,Royal Challengers Bangalore
C de Grandhomme,2018,Royal Challengers Bangalore
M Vijay,2018,Chennai Super Kings
SW Billings,2018,Chennai Super Kings
DR Shorey,2018,Chennai Super Kings
F du Plessis,2018,Chennai Super Kings
Harbhajan Singh,2018,Chennai Super Kings
MS Dhoni,2018,Chennai Super Kings
RA Jadeja,2018,Chennai Super Kings
KM Jadhav,2018,Chennai Super Kings
DJ Willey,2018,Chennai Super Kings
MA Wood,2018,Chennai Super Kings
SR Watson,2018,Chennai Super Kings
SN Thakur,2018,Chennai Super Kings
Imran Tahir,2018,Chennai Super Kings
L Ngidi,2018,Chennai Super Kings
DL Chahar,2018,Chennai Super Kings
SK Raina,2018,Chennai Super Kings
KV Sharma,2018,Chennai Super Kings
KM Asif,2018,Chennai Super Kings
DJ Bravo,2018,Chennai Super Kings
AT Rayudu,2018,Chennai Super Kings
BCJ Cutting,2019,Mumbai Indians
Q de Kock,2019,Mumbai Indians
JP Behrendorff,2019,Mumbai Indians
RG Sharma,2019,Mumbai Indians
AS Joseph,2019,Mumbai Indians
JJ Bumrah,2019,Mumbai Indians
J Yadav,2019,Mumbai Indians
Yuvraj Singh,2019,Mumbai Indians
RD Chahar,2019,Mumbai Indians
AS Roy,2019,Mumbai Indians
HH Pandya,2019,Mumbai Indians
M Markande,2019,Mumbai Indians
Ishan Kishan,2019,Mumbai Indians
MJ McClenaghan,2019,Mumbai Indians
SD Lad,2019,Mumbai Indians
Rasikh Salam,2019,Mumbai Indians
SL Malinga,2019,Mumbai Indians
SA Yadav,2019,Mumbai Indians
KA Pollard,2019,Mumbai Indians
BB Sran,2019,Mumbai Indians
E Lewis,2019,Mumbai Indians
KH Pandya,2019,Mumbai Indians
S Sandeep Warrier,2019,Kolkata Knight Riders
SP Narine,2019,Kolkata Knight Riders
PP Chawla,2019,Kolkata Knight Riders
RK Singh,2019,Kolkata Knight Riders
NS Naik,2019,Kolkata Knight Riders
RV Uthappa,2019,Kolkata Knight Riders
CR Brathwaite,2019,Kolkata Knight Riders
M Prasidh Krishna,2019,Kolkata Knight Riders
CA Lynn,2019,Kolkata Knight Riders
JL Denly,2019,Kolkata Knight Riders
HF Gurney,2019,Kolkata Knight Riders
Shubman Gill,2019,Kolkata Knight Riders
LH Ferguson,2019,Kolkata Knight Riders
KD Karthik,2019,Kolkata Knight Riders
KC Cariappa,2019,Kolkata Knight Riders
N Rana,2019,Kolkata Knight Riders
AD Russell,2019,Kolkata Knight Riders
Y Prithvi Raj,2019,Kolkata Knight Riders
Kuldeep Yadav,2019,Kolkata Knight Riders
MJ Santner,2019,Chennai Super Kings
AT Rayudu,2019,Chennai Super Kings
MS Dhoni,2019,Chennai Super Kings
SR Watson,2019,Chennai Super Kings
RA Jadeja,2019,Chennai Super Kings
DJ Bravo,2019,Chennai Super Kings
SN Thakur,2019,Chennai Super Kings
Harbhajan Singh,2019,Chennai Super Kings
F du Plessis,2019,Chennai Super Kings
SW Billings,2019,Chennai Super Kings
SC Kuggeleijn,2019,Chennai Super Kings
DL Chahar,2019,Chennai Super Kings
SK Raina,2019,Chennai Super Kings
KM Jadhav,2019,Chennai Super Kings
M Vijay,2019,Chennai Super Kings
MM Sharma,2019,Chennai Super Kings
DR Shorey,2019,Chennai Super Kings
Imran Tahir,2019,Chennai Super Kings
KV Sharma,2019,Chennai Super Kings
UT Yadav,2019,Royal Challengers Bangalore
V Kohli,2019,Royal Challengers Bangalore
P Ray Barman,2019,Royal Challengers Bangalore
YS Chahal,2019,Royal Challengers Bangalore
Mohammed Siraj,2019,Royal Challengers Bangalore
TG Southee,2019,Royal Challengers Bangalore
Washington Sundar,2019,Royal Challengers Bangalore
P Negi,2019,Royal Challengers Bangalore
S Dube,2019,Royal Challengers Bangalore
MP Stoinis,2019,Royal Challengers Bangalore
K Khejroliya,2019,Royal Challengers Bangalore
AD Nath,2019,Royal Challengers Bangalore
MM Ali,2019,Royal Challengers Bangalore
SO Hetmyer,2019,Royal Challengers Bangalore
DW Steyn,2019,Royal Challengers Bangalore
Navdeep Saini,2019,Royal Challengers Bangalore
AB de Villiers,2019,Royal Challengers Bangalore
H Klaasen,2019,Royal Challengers Bangalore
PA Patel,2019,Royal Challengers Bangalore
Gurkeerat Singh,2019,Royal Challengers Bangalore
C de Grandhomme,2019,Royal Challengers Bangalore
GC Viljoen,2019,Punjab Kings
KL Rahul,2019,Punjab Kings
Harpreet Brar,2019,Punjab Kings
R Ashwin,2019,Punjab Kings
M Ashwin,2019,Punjab Kings
Mandeep Singh,2019,Punjab Kings
KK Nair,2019,Punjab Kings
N Pooran,2019,Punjab Kings
DA Miller,2019,Punjab Kings
AS Rajpoot,2019,Punjab Kings
CH Gayle,2019,Punjab Kings
P Simran Singh,2019,Punjab Kings
Mohammed Shami,2019,Punjab Kings
CV Varun,2019,Punjab Kings
MA Agarwal,2019,Punjab Kings
SM Curran,2019,Punjab Kings
AJ Tye,2019,Punjab Kings
SN Khan,2019,Punjab Kings
Arshdeep Singh,2019,Punjab Kings
Mujeeb Ur Rahman,2019,Punjab Kings
JC Archer,2019,Rajasthan Royals
DS Kulkarni,2019,Rajasthan Royals
JD Unadkat,2019,Rajasthan Royals
RA Tripathi,2019,Rajasthan Royals
S Midhun,2019,Rajasthan Royals
R Parag,2019,Rajasthan Royals
MK Lomror,2019,Rajasthan Royals
VR Aaron,2019,Rajasthan Royals
SPD Smith,2019,Rajasthan Royals
STR Binny,2019,Rajasthan Royals
JC Buttler,2019,Rajasthan Royals
AJ Turner,2019,Rajasthan Royals
LS Livingstone,2019,Rajasthan Royals
AM Rahane,2019,Rajasthan Royals
BA Stokes,2019,Rajasthan Royals
K Gowtham,2019,Rajasthan Royals
O Thomas,2019,Rajasthan Royals
IS Sodhi,2019,Rajasthan Royals
P Chopra,2019,Rajasthan Royals
S Gopal,2019,Rajasthan Royals
SV Samson,2019,Rajasthan Royals
Sandeep Sharma,2019,Sunrisers Hyderabad
S Kaul,2019,Sunrisers Hyderabad
KS Williamson,2019,Sunrisers Hyderabad
KK Ahmed,2019,Sunrisers Hyderabad
MK Pandey,2019,Sunrisers Hyderabad
RK Bhui,2019,Sunrisers Hyderabad
WP Saha,2019,Sunrisers Hyderabad
B Kumar,2019,Sunrisers Hyderabad
Shakib Al Hasan,2019,Sunrisers Hyderabad
DJ Hooda,2019,Sunrisers Hyderabad
Rashid Khan,2019,Sunrisers Hyderabad
Basil Thampi,2019,Sunrisers Hyderabad
Abhishek Sharma,2019,Sunrisers Hyderabad
V Shankar,2019,Sunrisers Hyderabad
Mohammad Nabi,2019,Sunrisers Hyderabad
JM Bairstow,2019,Sunrisers Hyderabad
DA Warner,2019,Sunrisers Hyderabad
YK Pathan,2019,Sunrisers Hyderabad
S Nadeem,2019,Sunrisers Hyderabad
MJ Guptill,2019,Sunrisers Hyderabad
K Rabada,2019,Delhi Capitals
KMA Paul,2019,Delhi Capitals
TA Boult,2019,Delhi Capitals
C Munro,2019,Delhi Capitals
AR Patel,2019,Delhi Capitals
CH Morris,2019,Delhi Capitals
RR Pant,2019,Delhi Capitals
PP Shaw,2019,Delhi Capitals
I Sharma,2019,Delhi Capitals
GH Vihari,2019,Delhi Capitals
HV Patel,2019,Delhi Capitals
CA Ingram,2019,Delhi Capitals
SE Rutherford,2019,Delhi Capitals
A Mishra,2019,Delhi Capitals
J Suchith,2019,Delhi Capitals
R Tewatia,2019,Delhi Capitals
Avesh Khan,2019,Delhi Capitals
SS Iyer,2019,Delhi Capitals
S Dhawan,2019,Delhi Capitals
S Lamichhane,2019,Delhi Capitals
DJ Bravo,2020,Chennai Super Kings
KV Sharma,2020,Chennai Super Kings
KM Jadhav,2020,Chennai Super Kings
DL Chahar,2020,Chennai Super Kings
SR Watson,2020,Chennai Super Kings
Imran Tahir,2020,Chennai Super Kings
MJ Santner,2020,Chennai Super Kings
M Vijay,2020,Chennai Super Kings
MS Dhoni,2020,Chennai Super Kings
Monu Kumar,2020,Chennai Super Kings
N Jagadeesan,2020,Chennai Super Kings
AT Rayudu,2020,Chennai Super Kings
SN Thakur,2020,Chennai Super Kings
JR Hazlewood,2020,Chennai Super Kings
RA Jadeja,2020,Chennai Super Kings
L Ngidi,2020,Chennai Super Kings
RD Gaikwad,2020,Chennai Super Kings
SM Curran,2020,Chennai Super Kings
PP Chawla,2020,Chennai Super Kings
F du Plessis,2020,Chennai Super Kings
KD Karthik,2020,Kolkata Knight Riders
Kuldeep Yadav,2020,Kolkata Knight Riders
M Prasidh Krishna,2020,Kolkata Knight Riders
SP Narine,2020,Kolkata Knight Riders
CV Varun,2020,Kolkata Knight Riders
KL Nagarkoti,2020,Kolkata Knight Riders
T Banton,2020,Kolkata Knight Riders
RA Tripathi,2020,Kolkata Knight Riders
EJG Morgan,2020,Kolkata Knight Riders
CJ Green,2020,Kolkata Knight Riders
NS Naik,2020,Kolkata Knight Riders
N Rana,2020,Kolkata Knight Riders
RK Singh,2020,Kolkata Knight Riders
LH Ferguson,2020,Kolkata Knight Riders
Shivam Mavi,2020,Kolkata Knight Riders
AD Russell,2020,Kolkata Knight Riders
S Sandeep Warrier,2020,Kolkata Knight Riders
Shubman Gill,2020,Kolkata Knight Riders
PJ Cummins,2020,Kolkata Knight Riders
JL Pattinson,2020,Mumbai Indians
KA Pollard,2020,Mumbai Indians
SA Yadav,2020,Mumbai Indians
RG Sharma,2020,Mumbai Indians
Ishan Kishan,2020,Mumbai Indians
J Yadav,2020,Mumbai Indians
KH Pandya,2020,Mumbai Indians
TA Boult,2020,Mumbai Indians
DS Kulkarni,2020,Mumbai Indians
NM Coulter-Nile,2020,Mumbai Indians
HH Pandya,2020,Mumbai Indians
Q de Kock,2020,Mumbai Indians
RD Chahar,2020,Mumbai Indians
JJ Bumrah,2020,Mumbai Indians
SS Tiwary,2020,Mumbai Indians
DR Sams,2020,Delhi Capitals
SO Hetmyer,2020,Delhi Capitals
AR Patel,2020,Delhi Capitals
HV Patel,2020,Delhi Capitals
I Sharma,2020,Delhi Capitals
A Mishra,2020,Delhi Capitals
MM Sharma,2020,Delhi Capitals
MP Stoinis,2020,Delhi Capitals
P Dubey,2020,Delhi Capitals
R Ashwin,2020,Delhi Capitals
TU Deshpande,2020,Delhi Capitals
SS Iyer,2020,Delhi Capitals
A Nortje,2020,Delhi Capitals
S Dhawan,2020,Delhi Capitals
AT Carey,2020,Delhi Capitals
AM Rahane,2020,Delhi Capitals
RR Pant,2020,Delhi Capitals
Avesh Khan,2020,Delhi Capitals
PP Shaw,2020,Delhi Capitals
K Rabada,2020,Delhi Capitals
SPD Smith,2020,Rajasthan Royals
VR Aaron,2020,Rajasthan Royals
MK Lomror,2020,Rajasthan Royals
YBK Jaiswal,2020,Rajasthan Royals
DA Miller,2020,Rajasthan Royals
JC Archer,2020,Rajasthan Royals
TK Curran,2020,Rajasthan Royals
Kartik Tyagi,2020,Rajasthan Royals
AS Rajpoot,2020,Rajasthan Royals
AJ Tye,2020,Rajasthan Royals
BA Stokes,2020,Rajasthan Royals
R Parag,2020,Rajasthan Royals
RV Uthappa,2020,Rajasthan Royals
S Gopal,2020,Rajasthan Royals
JD Unadkat,2020,Rajasthan Royals
JC Buttler,2020,Rajasthan Royals
SV Samson,2020,Rajasthan Royals
R Tewatia,2020,Rajasthan Royals
SP Goswami,2020,Sunrisers Hyderabad
S Nadeem,2020,Sunrisers Hyderabad
DA Warner,2020,Sunrisers Hyderabad
Abdul Samad,2020,Sunrisers Hyderabad
S Kaul,2020,Sunrisers Hyderabad
Basil Thampi,2020,Sunrisers Hyderabad
JO Holder,2020,Sunrisers Hyderabad
KS Williamson,2020,Sunrisers Hyderabad
MR Marsh,2020,Sunrisers Hyderabad
KK Ahmed,2020,Sunrisers Hyderabad
Sandeep Sharma,2020,Sunrisers Hyderabad
PK Garg,2020,Sunrisers Hyderabad
WP Saha,2020,Sunrisers Hyderabad
V Shankar,2020,Sunrisers Hyderabad
Abhishek Sharma,2020,Sunrisers Hyderabad
T Natarajan,2020,Sunrisers Hyderabad
B Kumar,2020,Sunrisers Hyderabad
Rashid Khan,2020,Sunrisers Hyderabad
JM Bairstow,2020,Sunrisers Hyderabad
MK Pandey,2020,Sunrisers Hyderabad
Mohammad Nabi,2020,Sunrisers Hyderabad
P Simran Singh,2020,Punjab Kings
SS Cottrell,2020,Punjab Kings
SN Khan,2020,Punjab Kings
Mandeep Singh,2020,Punjab Kings
Arshdeep Singh,2020,Punjab Kings
DJ Hooda,2020,Punjab Kings
CJ Jordan,2020,Punjab Kings
N Pooran,2020,Punjab Kings
KL Rahul,2020,Punjab Kings
MA Agarwal,2020,Punjab Kings
CH Gayle,2020,Punjab Kings
Harpreet Brar,2020,Punjab Kings
GJ Maxwell,2020,Punjab Kings
K Gowtham,2020,Punjab Kings
Mujeeb Ur Rahman,2020,Punjab Kings
Ravi Bishnoi,2020,Punjab Kings
KK Nair,2020,Punjab Kings
JDS Neesham,2020,Punjab Kings
M Ashwin,2020,Punjab Kings
Mohammed Shami,2020,Punjab Kings
CH Morris,2020,Royal Challengers Bangalore
A Zampa,2020,Royal Challengers Bangalore
V Kohli,2020,Royal Challengers Bangalore
D Padikkal,2020,Royal Challengers Bangalore
I Udana,2020,Royal Challengers Bangalore
S Dube,2020,Royal Challengers Bangalore
Navdeep Saini,2020,Royal Challengers Bangalore
AJ Finch,2020,Royal Challengers Bangalore
YS Chahal,2020,Royal Challengers Bangalore
Gurkeerat Singh,2020,Royal Challengers Bangalore
JR Philippe,2020,Royal Challengers Bangalore
DW Steyn,2020,Royal Challengers Bangalore
AB de Villiers,2020,Royal Challengers Bangalore
Shahbaz Ahmed,2020,Royal Challengers Bangalore
Mohammed Siraj,2020,Royal Challengers Bangalore
Washington Sundar,2020,Royal Challengers Bangalore
UT Yadav,2020,Royal Challengers Bangalore
MM Ali,2020,Royal Challengers Bangalore
AU Rashid,2021,Punjab Kings
NT Ellis,2021,Punjab Kings
Jalaj S Saxena,2021,Punjab Kings
MC Henriques,2021,Punjab Kings
IC Porel,2021,Punjab Kings
KL Rahul,2021,Punjab Kings
P Simran Singh,2021,Punjab Kings
Mohammed Shami,2021,Punjab Kings
Ravi Bishnoi,2021,Punjab Kings
SN Khan,2021,Punjab Kings
FA Allen,2021,Punjab Kings
Mandeep Singh,2021,Punjab Kings
AK Markram,2021,Punjab Kings
MA Agarwal,2021,Punjab Kings
M Shahrukh Khan,2021,Punjab Kings
M Ashwin,2021,Punjab Kings
JA Richardson,2021,Punjab Kings
RP Meredith,2021,Punjab Kings
DJ Malan,2021,Punjab Kings
DJ Hooda,2021,Punjab Kings
N Pooran,2021,Punjab Kings
Harpreet Brar,2021,Punjab Kings
CH Gayle,2021,Punjab Kings
Arshdeep Singh,2021,Punjab Kings
CJ Jordan,2021,Punjab Kings
WP Saha,2021,Sunrisers Hyderabad
Virat Singh,2021,Sunrisers Hyderabad
